sample_id	molecule_type	primary_cluster_id	secondary_cluster_id	contig_id	size	gc	md5	circularity_status	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	repetitive_dna_id	repetitive_dna_type	filtering_reason
SAMN04875284	chromosome	-	-	ECLLOALE_1 Staphylococcus aureus strain strain	810293	0.32148988082088825	54297d8f3f67bb991663e640c06f7d16	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	ECLLOALE_10 Staphylococcus aureus strain strain	87635	0.32816796941861126	0309fd7b13f777ae25659af7ae158534	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	ECLLOALE_11 Staphylococcus aureus strain strain	75660	0.336293946603225	90d90ca6fdc9fb645043e53a8305e4d9	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	ECLLOALE_12 Staphylococcus aureus strain strain	68072	0.31941179927135976	72d819a1a88ee9e4c5574c23179bf201	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	ECLLOALE_13 Staphylococcus aureus strain strain	53883	0.33593155540708575	fc54b84f99802b1863f8a74c1f681a1f	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	ECLLOALE_14 Staphylococcus aureus strain strain	45847	0.32244203546578837	fdf41a1e58369713de7f3aac10110183	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	ECLLOALE_15 Staphylococcus aureus strain strain	37909	0.33466986731383047	525b69ea7bace163656bfcb3793b98b4	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	ECLLOALE_16 Staphylococcus aureus strain strain	32289	0.3157422032271052	3da0b5bfb643d3a63a4b8be7d76760a2	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	ECLLOALE_17 Staphylococcus aureus strain strain	30064	0.3251397019691325	034d8d1d263028523b4488ee32588561	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	plasmid	AA840	AJ227	ECLLOALE_18 Staphylococcus aureus strain strain	25202	0.30267439092135545	a8d7863cd13f9ae15760e435f4d59040	not tested	rep_cluster_1017,rep_cluster_1733,rep_cluster_2100	000261__GQ900456,CP000737,AP003139	-	-	-	-	MOBQ	AF001314	-	GQ900388	0.00541137	Staphylococcus aureus	-	-	-
SAMN04875284	chromosome	-	-	ECLLOALE_19 Staphylococcus aureus strain strain	22487	0.2939476141770801	c069a749bcac9947bdc14c4b69dba8f5	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	ECLLOALE_2 Staphylococcus aureus strain strain	388810	0.3336359661531339	a5c41935b0ba5e599eaa9bcf84b76aea	not tested	rep_cluster_2250	BX571857	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	ECLLOALE_20 Staphylococcus aureus strain strain	19828	0.31894290901755096	52308a389c5e1355eb1332956f8b5762	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	ECLLOALE_21 Staphylococcus aureus strain strain	18600	0.3010215053763441	f6f84076fb975782cbd1c48bf998124d	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	ECLLOALE_22 Staphylococcus aureus strain strain	18132	0.30950805206265164	998ee566110be01204d94b7f614f47e3	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	ECLLOALE_23 Staphylococcus aureus strain strain	12201	0.32013769363166955	671e65f9b4f66103b78d1292b9af7d09	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	ECLLOALE_24 Staphylococcus aureus strain strain	5421	0.34015864231691567	16fd2269c488b27dcd58cb6746a53807	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	ECLLOALE_25 Staphylococcus aureus strain strain	1179	0.3850720949957591	218858d99295e405883f3597f5b12768	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	ECLLOALE_26 Staphylococcus aureus strain strain	767	0.41590612777053454	bb71b078372f19f11122e11267c412f1	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SAMN04875284	chromosome	-	-	ECLLOALE_27 Staphylococcus aureus strain strain	615	0.3154471544715447	a9b980c270df714e7b54611e9e3480c6	not tested	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
